4,1998,243.3,12,8.5,  #,Miyamoto,&,Zhu,1998, AJ,115, 1483;,170,Cepheids,(Hipparcos),,,,,,,,,,,,,,,,,,,
7,1998,184,8,7.1,  #,Olling,&,Merrifield,1998, MNRAS,297, 943;,HI,,,,,,,,,,,,,,,,,,,,,
8,1998,256,10,8.51, #,Feast,et,al.,1998, MNRAS,298, L43;,266,Cepheids,with,radial,velocities/214,Cepheids,with,Hipparcos,proper,motions, 2AR0,,,,,,,,,,,
8,1998,232,18,8.51, #,Feast,et,al.,1998, MNRAS,298, L43;,R0(A-B), different,sample,,,,,,,,,,,,,,,,,,,
10,1999,226,44,8.5,  #,Méndez,et,al.,1999, ApJ,524, L39;,30,0,Southern,PM,program,stars,toward,the,Galactic,pole;,based,on,reanalysis,of,Kerr,&,Lynden-Bell,1986,,,,
10,1999,219,20,8,  #,Reid,et,al.,1999, ApJ,524, 816;,Sgr,A*,motion,,,,,,,,,,,,,,,,,,,
0,2000,216.5,24,8.2,  #,Nikiforov,2000, ASPC,209, 403;,HI,vs,CO,,,,,,,,,,,,,,,,,,,,,
2,2000,255.5,8.3,8.5,  #,Uemura,et,al.,2000, PASJ,52, 143;,240,O-B5,stars,(Hipparcos),,,,,,,,,,,,,,,,,,
12,2000,268.7,11.9,8.5,  #,Zhu,2000, PASJ,52, 1133;,O-B5,stars,(Hipparcos),,,,,,,,,,,,,,,,,,,,,
12,2000,252.1,10.1,8.5,  #,Zhu,2000, PASJ,52, 1133;,K, M,giants,(Hipparcos),,,,,,,,,,,,,,,,,,,,
12,2000,240,12.1,8.5,  #,Zhu,2000, PASJ,52, 1133;,Cepheids,(Hipparcos),,,,,,,,,,,,,,,,,,,,,,
12,2000,240.5,10.2,8.5,  #,Zhu,2000, PASJ,52, 1133;,Cepheids,(Hipparcos),,,,,,,,,,,,,,,,,,,,,,
5,2002,258.7,34.3,8.5,  #,Branham,2002, ApJ,570, 190;,1817,O-B5,stars,(most,Hipparcos),,,,,,,,,,,,,,,,,,,
12,2002,225.4,21,8,  #,Luna,et,al.,2002, ASPC,275, 131;,CO, HII,regions, R0(A-B),,,,,,,,,,,,,,,,,,
7,2003,220.8,13.6,8,  #,Bedin,et,al.,2003, AJ,126, 247;,PMs,of,field,stars,in,the,bulge,near,the,GC,M4, Oort,constants;,see,also,Mem.,Soc.,Astron.,It.,74,436,-2003
12,2003,224,16,8,  #,Olling,&,Dehnen,2003, ApJ,599, 275;,106,ACT/Tycho-2,stars,with,kinematic,data, R0(A-B),,,,,,,,,,,,,,,
1,2004,202.7,24.7,8,  #,Kalirai,et,al.,2004, ApJ,601, 277;,PMs,of,field,stars,in,the,bulge,near,the,GC,M4, Oort,constants,,,,,,,,,
2,2004,245.9,13.5,8,  #,Sirko,et,al.,2004, AJ,127, 914;,halo,blue,HB,stars,,,,,,,,,,,,,,,,,,
12,2004,236,15,8,  #,Reid,&,Brunthaler,2004, ApJ,616, 872;,Sgr,A*,motion,,,,,,,,,,,,,,,,,,,
12,2004,229,15,8,  #,Reid,&,Brunthaler,2004, ApJ,616, 872;,Sgr,A*,motion, vpec,v,=,12,km,s-1,,,,,,,,,,,,,
8,2005,214,8,8.27, #,Frinchaboy,et,al.,2005, in:,"Island,Universes:,Structure,and,Evolution,of,Disk,Galaxies", ed.,R.,de,Jong,(Springer:,Dordrecht), arXiv:astro-ph/0508666;,-3,km,s-1, more,than,50,OCs,in,the,3rd,and,4th,Galactic,quadrants, not,scalable
6,2005,202,4,8,  #,Avedisova,2005, ARep,49, 435;,270,star-forming,regions,,,,,,,,,,,,,,,,,,,,,
12,2005,241,15,8,  #,Reid,&,Brunthaler,2005, ASPC,340, 253;,Sgr,A*,motion,,,,,,,,,,,,,,,,,,,
4,2006,215,5,7.8,  #,Orlov,et,al.,2006, A&AT,25, 161;,solar,neighborhood,stars,(details,no,longer,available),,,,,,,,,,,,,,,
2,2007,244,13,8.25, #,Shen,&,Zhu,2007, ChJA&A,7, 120;,O-B5,stars,(Hipparcos),,,,,,,,,,,,,,,,,,,
2,2007,261,15,7.95, #,Shen,&,Zhu,2007, ChJA&A,7, 120;,open,clusters,,,,,,,,,,,,,,,,,,,,
9,2008,202,20,8,  #,Xue,et,al.,2008, ApJ,684, 1143;,2400,blue,HB,halo,stars,(SDSS),2,different,cosmological,simulations,,,,,,,,,,,,
9,2008,215,20,8,  #,Xue,et,al.,2008, ApJ,684, 1143;,2400,blue,HB,halo,stars,(SDSS),2,different,cosmological,simulations,,,,,,,,,,,,
12,2008,229,18,8.4,  #,Ghez,et,al.,2008, ApJ,689, 1044;,Sgr,A*,motion,,,,,,,,,,,,,,,,,,,
12,2008,243.6,9.4,8,  #,Yuan,et,al.,2008, ChJA&A,8, 714;,O-B5,stars, Oort,constants,,,,,,,,,,,,,,,,,,
